Wavelength in nm,Intensity,,,,,,,,,
638.87316,-13.8211,,,,,,,,,
638.91268,-131.843,,,,,,,,,
638.95221,-36.2017,,,,,,,,,
638.99173,76.7894,,,,,,,,,
639.03126,54.7094,,,,,,,,,
639.0708,26.5898,,,,,,,,,
639.11033,107.288,,,,,,,,,
639.14987,37.1338,,,,,,,,,
639.18941,14.3726,,,,,,,,,
639.22895,29.045,,,,,,,,,
639.2685,92.7994,,,,,,,,,
639.30804,-60.594,,,,,,,,,
639.34759,25.9381,,,,,,,,,
639.38714,-40.4469,,,,,,,,,
639.4267,22.234,,,,,,,,,
639.46625,79.5485,,,,,,,,,
639.50581,-87.5535,,,,,,,,,
639.54537,69.1759,,,,,,,,,
639.58494,102.263,,,,,,,,,
639.6245,162.893,,,,,,,,,
639.66407,-140.387,,,,,,,,,
639.70364,14.9473,,,,,,,,,
639.74322,-0.57569,,,,,,,,,
639.78279,-119.191,,,,,,,,,
639.82237,-101.222,,,,,,,,,
639.86195,-39.7893,,,,,,,,,
639.90153,80.4545,,,,,,,,,
639.94112,73.7471,,,,,,,,,
639.98071,-29.5932,,,,,,,,,
640.0203,14.5347,,,,,,,,,
640.05989,95.2149,,,,,,,,,
640.09948,27.5859,,,,,,,,,
640.13908,32.892,,,,,,,,,
640.17868,106.927,,,,,,,,,
640.21828,68.7963,,,,,,,,,
640.25788,8.08667,,,,,,,,,
640.29749,-134.509,,,,,,,,,
640.3371,-127.826,,,,,,,,,
640.37671,103.465,,,,,,,,,
640.41632,173.291,,,,,,,,,
640.45594,94.4562,,,,,,,,,
640.49556,-57.9278,,,,,,,,,
640.53518,-99.9231,,,,,,,,,
640.5748,-31.9574,,,,,,,,,
640.61443,194.183,,,,,,,,,
640.65406,115.424,,,,,,,,,
640.69369,80.1523,,,,,,,,,
640.73332,243.746,,,,,,,,,
640.77296,214.121,,,,,,,,,
640.81259,130.359,,,,,,,,,
640.85223,249.29,,,,,,,,,
640.89188,-14.5316,,,,,,,,,
640.93152,9.63183,,,,,,,,,
640.97117,-70.1467,,,,,,,,,
